case_id,item_type,item_id,relevance,reviewer,notes
CTI012,image,PMC12947919:F1,3,project_seed,Source image used to construct this known-item smoke query
CTI013,image,PMC12952828:f1-dpc1601a6065,3,automated_known_item_rule,Exact seeded source item
CTI014,image,PMC12965828:jog70225-fig-0001,3,automated_known_item_rule,Exact seeded source item
CTI015,image,PMC12966738:fig1,3,automated_known_item_rule,Exact seeded source item
IMG001,image,PMC12979133:f2,3,automated_known_item_rule,Exact seeded source item
IMG002,image,PMC12979534:F1,3,automated_known_item_rule,Exact seeded source item
IMG003,image,PMC12981666:f1,3,automated_known_item_rule,Exact seeded source item
IMG004,image,PMC12982037:f1,3,automated_known_item_rule,Exact seeded source item
IMG005,image,PMC12982058:f2,3,automated_known_item_rule,Exact seeded source item
IMG006,image,PMC12985215:cells-15-00467-f002,3,automated_known_item_rule,Exact seeded source item
IMG007,image,PMC12985223:ijms-27-02157-f003,3,automated_known_item_rule,Exact seeded source item
IMG008,image,PMC12985845:jcm-15-02002-f001,3,automated_known_item_rule,Exact seeded source item
IMG009,image,PMC12987659:FWL2,3,project_seed,Source image used to construct this known-item smoke query
IMG010,image,PMC12995829:fig3,3,automated_known_item_rule,Exact seeded source item
HYB001,image,PMC13006433:fig7,3,automated_known_item_rule,Exact seeded source item
HYB002,image,PMC13038247:F1,3,project_seed,Source image used to construct this known-item smoke query
HYB003,image,PMC13092995:FIG1,3,automated_known_item_rule,Exact seeded source item
HYB004,image,PMC13093329:ccr372309-fig-0001,3,automated_known_item_rule,Exact seeded source item
HYB005,image,PMC13226555:f6,3,automated_known_item_rule,Exact seeded source item
TXT001,text,CHUNK_0010386,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT001,text,CHUNK_0009216,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT001,text,CHUNK_0050438,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT001,text,CHUNK_0014197,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT001,text,CHUNK_0012695,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT002,text,CHUNK_0026654,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT002,text,CHUNK_0057007,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT002,text,CHUNK_0053772,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT002,text,CHUNK_0021095,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT002,text,CHUNK_0018721,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT003,text,CHUNK_0000169,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT003,text,CHUNK_0004185,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT003,text,CHUNK_0046761,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT003,text,CHUNK_0022915,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT004,text,CHUNK_0015710,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT004,text,CHUNK_0028225,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT004,text,CHUNK_0001071,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT004,text,CHUNK_0054272,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT005,text,CHUNK_0054836,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT005,text,CHUNK_0050649,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT005,text,CHUNK_0053180,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT005,text,CHUNK_0034013,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT005,text,CHUNK_0035426,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT006,text,CHUNK_0030268,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT006,text,CHUNK_0045168,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT006,text,CHUNK_0000883,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT006,text,CHUNK_0056047,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT007,text,CHUNK_0033724,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT007,text,CHUNK_0033233,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT007,text,CHUNK_0011454,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT007,text,CHUNK_0006669,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT007,text,CHUNK_0002524,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT008,text,CHUNK_0012712,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT008,text,CHUNK_0028850,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT008,text,CHUNK_0049919,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT008,text,CHUNK_0055675,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT009,text,CHUNK_0013261,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT009,text,CHUNK_0025784,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT009,text,CHUNK_0033402,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT009,text,CHUNK_0039287,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT010,text,CHUNK_0021372,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT010,text,CHUNK_0002908,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT010,text,CHUNK_0002907,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT010,text,CHUNK_0011591,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT010,text,CHUNK_0002781,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT011,text,CHUNK_0012937,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT011,text,CHUNK_0009198,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT011,text,CHUNK_0025982,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT011,text,CHUNK_0013162,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT011,text,CHUNK_0054066,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT012,text,CHUNK_0045574,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT012,text,CHUNK_0025307,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT012,text,CHUNK_0009449,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT012,text,CHUNK_0052456,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT012,text,CHUNK_0027111,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT013,text,CHUNK_0032891,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT013,text,CHUNK_0044459,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT013,text,CHUNK_0018329,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT013,text,CHUNK_0045226,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT014,text,CHUNK_0024073,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT014,text,CHUNK_0049667,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT014,text,CHUNK_0017993,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT014,text,CHUNK_0024625,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT014,text,CHUNK_0032944,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT015,text,CHUNK_0048346,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT015,text,CHUNK_0009787,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT015,text,CHUNK_0033593,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT015,text,CHUNK_0041380,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT016,text,CHUNK_0011717,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT016,text,CHUNK_0043325,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT016,text,CHUNK_0038347,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT016,text,CHUNK_0038032,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT017,text,CHUNK_0057450,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT017,text,CHUNK_0015228,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT017,text,CHUNK_0002704,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT017,text,CHUNK_0029091,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT018,text,CHUNK_0055702,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT018,text,CHUNK_0011930,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT018,text,CHUNK_0041064,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT018,text,CHUNK_0044547,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT019,text,CHUNK_0022852,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT019,text,CHUNK_0050088,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT019,text,CHUNK_0030907,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT019,text,CHUNK_0007954,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT020,text,CHUNK_0005326,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT020,text,CHUNK_0033859,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT020,text,CHUNK_0044127,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT020,text,CHUNK_0039918,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
TXT020,text,CHUNK_0052474,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI001,image,oncology:PMC6519492_f3_480397.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI001,image,oncology:PMC7352159_cancers-12-01474-f003_210794.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI001,image,oncology:PMC4246683_f5-ol-09-01-0131_339952.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI001,image,oncology:PMC6089399_F1_353114.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI002,image,oncology:PMC5685648_FIG5_239523.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI002,image,oncology:PMC4484564_fig1_400832.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI002,image,oncology:PMC4623897_Fig1_438141.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI002,image,oncology:PMC7235860_diagnostics-10-00223-f006_173559.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI003,image,oncology:PMC8240675_FIG1_482300.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI003,image,oncology:PMC4998718_F1_66644.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI003,image,oncology:PMC5977007_fig2_321067.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI003,image,oncology:PMC8101656_gf01_434773.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI003,image,oncology:PMC6624000_FIG1_6958.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI004,image,oncology:PMC8813747_f3_183915.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI004,image,oncology:PMC7081270_Fig1_137831.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI004,image,oncology:PMC8813747_f4_183898.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI004,image,oncology:PMC8813747_f4_183907.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI005,image,oncology:PMC6399467_F4_444208.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI005,image,oncology:PMC7728791_Fig3_318279.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI005,image,oncology:PMC7352159_cancers-12-01474-f003_210795.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI005,image,oncology:PMC5647649_F1_228705.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI005,image,oncology:PMC8477005_F2_71678.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI006,image,PMC13301002:cncr70400-fig-0001,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI006,image,PMC13299931:ijms-27-05152-f001,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI006,image,PMC13297655:cimb-48-00615-f001,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI006,image,PMC13294193:f2,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI007,image,oncology:PMC6736854_Fig2_36060.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI007,image,oncology:PMC8998973_ijms-23-03802-f002_249596.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI007,image,oncology:PMC8205298_fig-4_468824.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI007,image,oncology:PMC6700294_F4_25560.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI008,image,oncology:PMC5288224_F7_121993.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI008,image,PMC13296855:cancers-18-01863-f002,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI008,image,PMC13297157:cancers-18-01898-f002,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI008,image,oncology:PMC8833400_cancers-14-00700-f003_189615.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI008,image,PMC13296382:cancers-18-01929-f001,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI009,image,oncology:PMC9406679_cancers-14-04017-f001_381462.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI009,image,oncology:PMC8656640_cancers-13-06044-f001_134120.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI009,image,oncology:PMC3334987_pone-0035857-g006_134865.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI009,image,oncology:PMC7354670_fig3_212213.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI009,image,oncology:PMC8367814_Fig1_35473.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI010,image,oncology:PMC6833349_fig0010_62787.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI010,image,oncology:PMC5222904_Fig2_112074.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI010,image,oncology:PMC7816477_Fig1_345748.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI010,image,oncology:PMC3678599_f5-ol-05-05-1667_210320.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI010,image,oncology:PMC3751271_Fig1_226793.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI011,image,oncology:PMC5998143_Fig1_327806.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI011,image,oncology:PMC3590979_f2_190335.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI011,image,oncology:PMC9331795_cancers-14-03573-f001_358503.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI011,image,oncology:PMC7917758_cancers-13-00786-f0A2_378941.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI011,image,oncology:PMC6402092_Fig2_445136.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI012,image,oncology:PMC9030832_curroncol-29-00181-f005_262120.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI012,image,oncology:PMC6319599_FIG1_418743.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI012,image,oncology:PMC9247463_f1_328822.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI012,image,oncology:PMC6365311_Fig7_432971.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI012,image,oncology:PMC9174679_F1_303958.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI013,image,oncology:PMC7235860_diagnostics-10-00223-f006_173558.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI013,image,oncology:PMC4475737_fig4_398604.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI013,image,oncology:PMC6925139_Fig6_88358.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI013,image,oncology:PMC9032984_cancers-14-02020-f003_263308.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI014,image,oncology:PMC3958648_fig2_275072.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI014,image,oncology:PMC9220973_cancers-14-03000-f034_318565.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI014,image,oncology:PMC8068401_diagnostics-11-00672-f001_425463.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI014,image,oncology:PMC7300256_F4_194396.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI014,image,oncology:PMC9220973_cancers-14-03000-f017_318522.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI015,image,oncology:PMC3094318_F4_95220.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI015,image,oncology:PMC4741740_F1_470672.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI015,image,oncology:PMC7285527_Fig7_189007.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI015,image,oncology:PMC4599301_F1_431492.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
CTI015,image,oncology:PMC8360892_Fig2_33714.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG001,image,oncology:PMC5719518_Fig2_249909.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG001,image,oncology:PMC8813747_f4_183907.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG001,image,oncology:PMC9318386_jpm-12-01039-f002_352562.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG001,image,oncology:PMC4887889_f5_36125.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG002,image,oncology:PMC7288794_fig1-1179545X20926188_190342.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG002,image,oncology:PMC3016340_F1_83126.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG002,image,oncology:PMC8227037_diagnostics-11-01007-f005_476528.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG002,image,oncology:PMC9210185_F0003_315913.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG003,image,oncology:PMC7892660_Fig2_370694.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG003,image,oncology:PMC3751571_F2_226917.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG003,image,oncology:PMC3314538_F3_131775.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG003,image,oncology:PMC8860420_ivab276-F1_198914.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG004,image,oncology:PMC2768639_F0011_49176.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG004,image,oncology:PMC5307641_Fig2_127372.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG004,image,oncology:PMC4820940_Fig1_18385.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG004,image,oncology:PMC8997132_cancers-14-01779-f004_248683.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG005,image,oncology:PMC9387018_Fig4_375088.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG005,image,oncology:PMC6912832_jcm-08-01767-f003_84034.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG005,image,oncology:PMC8192650_Fig24_463651.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG005,image,oncology:PMC7589685_cancers-12-03055-f003_282968.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG006,image,PMC13296543:biomedicines-14-01222-f004,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG006,image,PMC13296382:cancers-18-01929-f003,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG006,image,PMC13227321:f1-ol-32-1-15663,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG006,image,PMC13243261:F7,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG007,image,PMC12985223:ijms-27-02157-f005,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG007,image,PMC13300213:ijms-27-05380-f003,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG007,image,PMC13296404:biomolecules-16-00916-f002,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG007,image,PMC12939061:cancers-18-00675-f002,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG008,image,oncology:PMC6334729_Fig3_423611.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG008,image,oncology:PMC4469402_Fig3_397356.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG008,image,oncology:PMC3789499_fig1_235607.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG008,image,oncology:PMC7519535_Fig1_261712.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG009,image,oncology:PMC4019532_pone-0097151-g006_288055.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG009,image,oncology:PMC7288918_f3a_190353.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG009,image,oncology:PMC7356629_biomolecules-10-00820-f005_212960.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG009,image,oncology:PMC4508046_pone.0133812.g004_407669.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG009,image,oncology:PMC7673992_Fig3_300681.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG010,image,PMC13296548:biomolecules-16-00923-f006,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG010,image,PMC13293886:f2,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG010,image,oncology:PMC8395214_ijms-22-08471-f010_43953.jpg,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
IMG010,image,PMC13243269:f7,0,automated_known_item_rule,Not the seeded source item; not a clinical irrelevance judgment
